text,label,label_encoded
KELLY MCBRIDE PHOENI,Financial Services,1
PAULS GRANADA HILLS,Financial Services,1
EARLS CLEANERS RICHBORO,Financial Services,1
MISS NAILS JAMESTOWN,Financial Services,1
GOLDEN WAVE EDWARDS,Financial Services,1
WCIHAROLDLEMAYINC,Financial Services,1
REGAIL NAILS SALON OLD BRIDGE,Financial Services,1
SKIN CARE AND WAI SCOTTSDALE,Financial Services,1
ALEA DANIEL SALON SPA GREEN VALLEY,Financial Services,1
ASAP CHEM DRY,Financial Services,1
EUROPEAN CLEANERS PARADISE VALLAZ,Financial Services,1
STEVENS PLUMBING PHOENI,Financial Services,1
ARTISTIC EYEBROW T,Financial Services,1
EUROPA SALON CENTENNIAL,Financial Services,1
GRANGE INSURANCE,Financial Services,1
TANDMONIUM,Financial Services,1
CLAUDIOS HAIR SALON I WEST VALLEY C,Financial Services,1
PAYCAPITOL CITY MINI,Financial Services,1
LINAS NAILS CORDOVA,Financial Services,1
VENA RENEE SPA SAL LOS GATOS,Financial Services,1
CAPITAL ALARM,Financial Services,1
K TAILOR LLC CHASKA,Financial Services,1
NAIL NEW YORK,Financial Services,1
SPACE CLEANERS HOUSTON T,Financial Services,1
SUPER HOUR CLEANERS FOUNTAIN HILL,Financial Services,1
BMCMYSTERY GUILD,Financial Services,1
ANTELOPE HILLS HAY TOLLESON,Financial Services,1
COOL NAIL FORT WORTH T,Financial Services,1
SMART BOMB INTERAC,Financial Services,1
SALON ENSO LANCASTER,Financial Services,1
FORLOVE TIGARD,Financial Services,1
SASSYS SALON PLEASANT GROV,Financial Services,1
ELAN INTERIOR INC SCOTTSDALE,Financial Services,1
CULTURED FLAGSTAFF,Financial Services,1
SLAV TOSHKOV TRANSPORT TORRANCE,Financial Services,1
KHOLES HAIR STUDI MONONA,Financial Services,1
LAKE S TAILORING AND D ROSEMOUNT,Financial Services,1
SAVE HOME HEAT BOULDER,Financial Services,1
WATSON ACE HARDWARE LAKE MILLS,Financial Services,1
WALKER CENTER MAST SALT LAKE CIT,Financial Services,1
SEVERN CLEANERS SEVERN,Financial Services,1
VERSUS BEAUTY SALON DENVER,Financial Services,1
LEONARD F BAKER CPA P PHOENI,Financial Services,1
WALLACE WOLITARS ELVERSON,Financial Services,1
SHARON WAGNER LLC LAKEWOOD,Financial Services,1
CERES SOLUTION VINCENNES,Financial Services,1
J BELLA NAILS APTOS,Financial Services,1
CIELOS FINANCIAL L T,Financial Services,1
DEWEYS VACUUM AND FOREST LAKE,Financial Services,1
NAILS JIMMY PHOENI,Financial Services,1
BARBIE BARBER COSTA MESA,Financial Services,1
BUILDER SUPPLY INC FORT COLLINS,Financial Services,1
HSA CARD PURCHASE FCP ARLINGTON DIVI JACKSONVILLE,Financial Services,1
ERAU PRESCOTT ONLINE C,Financial Services,1
LIZS NAIL SALON BOUNTIFUL,Financial Services,1
RETRO MIRAFLORES GUATEMALA,Financial Services,1
CHECK CRD PUR RTRN PAYPAL PSYCHICREAD,Financial Services,1
IMAGE CREATORCHRI COON RAPIDS,Financial Services,1
AMERICAS BEST STO MIDDLEBURG,Financial Services,1
THAI TRDTNL MASSGE THR KINGWOOD T,Financial Services,1
A STYLISH AFFAIR YUCCA VALLEY,Financial Services,1
GORE STORE NEWARK,Financial Services,1
ALL AGLOW SKIN CARE COLORADO SPRI,Financial Services,1
STAR FLAG DISPLAY GEORGE,Financial Services,1
S TANNING HYDRO M CANON CITY,Financial Services,1
SECURITY BOOT AND SHOE SPRINGS,Financial Services,1
MAROD MEDICAL SPA TWIN FALLS,Financial Services,1
IDC RED OAK RED OAK T,Financial Services,1
SHELTERWEB,Financial Services,1
TARZANA BEAUTY SUPPLY TARZANA,Financial Services,1
DENISE LAPOINT AURORA,Financial Services,1
DIVINE GRIND EDEN PRAIRIE,Financial Services,1
DEBIT CRD PURCHASE CLEANERS AVIANO,Financial Services,1
SALON BELLA FRISCO T,Financial Services,1
A AND A SUPPLY SHO CHARLOTTESVIL,Financial Services,1
FABRICARE CLEANERS DACULA,Financial Services,1
STGEORGE FLOOD SAINT GEORGE,Financial Services,1
SPALON MONTAGE EDINA,Financial Services,1
DCIDUNCRAFT BIRDFDRS,Financial Services,1
NAIL ART TONY TUCSON,Financial Services,1
CHECK CRD PUR RTRN UHAUL TRICITY TEMPE,Financial Services,1
MAY NAILS RIVERTON,Financial Services,1
C F FINANCE,Financial Services,1
D BARBER SHOP PHOENI,Financial Services,1
DEBRA DAWKINS COLLINS,Financial Services,1
KAPLANLAW ALPHARETTA,Financial Services,1
NOTORIOUS SALON TUCSON,Financial Services,1
SECOND WIND SAN DIEGO,Financial Services,1
CHECK CRD PUR RTRN CISCO CONSUMER PRODUCT,Financial Services,1
PARTYLAND INC SPRINGVILLE,Financial Services,1
ESTIMATE SOFTWARE,Financial Services,1
AZCI NET,Financial Services,1
PALMBEACHTAN SAT T,Financial Services,1
JUDYS ALTERATIONS INC SCOTTSDALE,Financial Services,1
THE DUKE WELLINGTON LEATHERHEAD,Financial Services,1
ALLSTAR READY,Financial Services,1
TIKI TAN WELLNORN COLLEGE STATI T,Financial Services,1
CHADS PIZZA AND BURGE WEATHERFORD T,Financial Services,1
TCTTSA,Financial Services,1
GIUSEPPE DAVID STUDIOS BRECKENRIDGE,Financial Services,1
HARKINS REEL DEALSQ,Financial Services,1
B J ART CREATIONS INC GARLAND T,Financial Services,1
TUCSON EVENTS L TUCSON,Financial Services,1
BORDA PRODUCTIONS,Financial Services,1
BRONCO CLEANERS TUSTIN,Financial Services,1
DEBIT CRD PURCHASE IMMORTALMCSCOM,Financial Services,1
LABELLA SALON CORAL GABLES,Financial Services,1
PETS PERFECTION MIDLOTHIAN T,Financial Services,1
LIVING YOUNG SEMINOLE,Financial Services,1
SALON AKA INC CENTENNIAL,Financial Services,1
ARMOR,Financial Services,1
PUA NAILS HONOLULU,Financial Services,1
CLARK LINFORD GEORGE,Financial Services,1
CHECK CRD PUR RTRN CRYSTAL HOUSE COON RAPIDS,Financial Services,1
DON HAIR NAILS KATY T,Financial Services,1
DBCD PUR RTN INTL PLIHMAVPN PLIMUSINC,Financial Services,1
JEFFREY A KATZ ATTY,Financial Services,1
CENTRAL LAHANI HONOLULU,Financial Services,1
INDIAN TOUCH GALLUP,Financial Services,1
DM USVINMIGLDLYRDQTR DANMINT,Financial Services,1
TIDES CLEANERS QPS HOUSTON T,Financial Services,1
GAF HONG KONG,Financial Services,1
MORTGAGE SERVICES T,Financial Services,1
USA LLC ZARA,Financial Services,1
HIRSCH PIPE SUPP LOS ANGELES,Financial Services,1
REYNOLDS JEWELERS ROCK SPRINGS,Financial Services,1
BRONZ BODY TAN LOS ANGELES,Financial Services,1
WALKWIRE LLC,Financial Services,1
SPATANEOUS NAILS POOLER,Financial Services,1
THE NAIL ROOM SALT LAKE CIT,Financial Services,1
HOT STUDIO S AUBREY T,Financial Services,1
DEBIT CRD PURCHASE AMERICAN EPRESS MANILA,Financial Services,1
HAAR FRISEUR SALON NEW ULM,Financial Services,1
CINDERS OSHKOSH,Financial Services,1
DEBIT CRD PURCHASE BOUNCY BIDS,Financial Services,1
RBRTS TRMWY RES JUNEAU,Financial Services,1
BELLA AMICI PEORIA,Financial Services,1
KENNEL CIRCLE D D ANAHEIM,Financial Services,1
ONLINEHANDLERYSF,Financial Services,1
LIQUID HAIR SALON EAST BRUNSWIC,Financial Services,1
CONVERSIONS BEAUTY SAL PHOENI,Financial Services,1
HOUSENEEDS,Financial Services,1
KIMS MAGIC TOUCH CLEA GILBERT,Financial Services,1
OTC HOUSTON T,Financial Services,1
ALLCITYSTORAGE PHILADELPHIA,Financial Services,1
MERIDIAN CLEANERS GILBERT,Financial Services,1
SOUTHERN NAILS MIDLOTHIAN,Financial Services,1
DES CHEVEUE BOUTIQUE BRAWLEY,Financial Services,1
DESSOLMAILBIGFILE LOWESTOFT,Financial Services,1
SUNTECH PEST CONTROL,Financial Services,1
TECH MOVE LLC,Financial Services,1
DRIPERFECT DIET TRACK REGNOWCOM,Financial Services,1
PONCHA MINI STORAGE,Financial Services,1
JOSEPH JOSEPH LTD LONDON SE,Financial Services,1
TMSDRY CLEANERS BILOI,Financial Services,1
DEJA VOUS HAIR CAR,Financial Services,1
WORDS PEACE INTERNA AGOURA HILLS,Financial Services,1
SUN NAIL GLEN ALLEN,Financial Services,1
TILE GLENDALE,Financial Services,1
USA NAIL HAIR GEOR KINGWOOD T,Financial Services,1
UNITY SALON TRIS SALT LAKE CIT,Financial Services,1
CINDY DEVINE WINDSOR,Financial Services,1
LOQENCE HAIR IRVINGTON,Financial Services,1
CHECK CRD PUR RTRN BOW WOW MEOW SICKLERVILLE,Financial Services,1
REPLENISH INC VANCOUVER,Financial Services,1
MLM LUCILE ERWIN MIDDL MYLUNCHMONEY,Financial Services,1
ALLURE PERMANENT COS,Financial Services,1
POLICE TOY DRIVE FOUND,Financial Services,1
RAINDANCE HEALING CENT TUCSON,Financial Services,1
BURLEYASSOC,Financial Services,1
MERRY SPA SANTA CLARITA,Financial Services,1
EIIEQUISREUTRDATALNK,Financial Services,1
BEAUTE,Financial Services,1
PROVA SALON SCOTTSDALE,Financial Services,1
LASER EPRESS UTAH,Financial Services,1
OBAGI SKIN BEVERLY HILLS,Financial Services,1
FRAAMICI GLENDALE,Financial Services,1
KATMANIA CREPE CYPRESS T,Financial Services,1
ARNOLD SCOTT HARRI,Financial Services,1
CHECK CRD PUR RTRN BATTLEMENT MESA HARDWA PARACHUTE,Financial Services,1
SALON DENVER DENVER,Financial Services,1
FIND CASH BUYERS N,Financial Services,1
FREDDYS BARBERSHOP DENVER,Financial Services,1
USA REALTY FLYERS PHOENI,Financial Services,1
NAIL MAGIC SALON SAN JOSE,Financial Services,1
SICILLE HUYNH CENTENNIAL,Financial Services,1
VETERANS FUNERAL C CLEARWATER,Financial Services,1
NELSON CRAB INC TOKELAND,Financial Services,1
DECORE ATIVE SPECI,Financial Services,1
KINNEY KEELE TRU ONTARIO,Financial Services,1
PAYLION SQUARE LODGE,Financial Services,1
KATHYS NAIL HAIR REDONDO BEACH,Financial Services,1
PAYMENT SAVVY LLC T,Financial Services,1
LORING BUILDING PHILADELPHIA,Financial Services,1
CORPORATE NETWORK,Financial Services,1
SCOUTCOM,Financial Services,1
MAGIC STITCHES RALEIGH,Financial Services,1
DEBIT CRD PUR INTL MARCO POLO EPERT CASALECCHIO D,Financial Services,1
DYLANS BARBER SHOP PHOENI,Financial Services,1
KING FAMILY CROZET,Financial Services,1
PALMINA LEONE CONCEPT PHOENI,Financial Services,1
RELA FEET SAN FRANCISCO,Financial Services,1
BANGS SALON NAPLES,Financial Services,1
HAIR COMPANY CHILLICOTHE,Financial Services,1
IBEACH TAN GILBERT GILBERT,Financial Services,1
CLIP DIP GROOMING ROCHESTER,Financial Services,1
CODY AND COMPANY INC WAUWATOSA,Financial Services,1
MURTHY LAW FIRM,Financial Services,1
EASYKEYSCOM INC CHARLOTTE,Financial Services,1
MANKATO A Z REN MANKATO,Financial Services,1
TILE DESIGN LLC,Financial Services,1
NAVE SELF STORAGE,Financial Services,1
MCH LLC WILLCO,Financial Services,1
DAVANTI SALON DENTON T,Financial Services,1
BUHLS LAUNDRY,Financial Services,1
QRS INSURANCE SOLUTION SAN DIEGO,Financial Services,1
LAVANTAGE SALON THE WOODLANDS T,Financial Services,1
SAN TRAC TECHNOLOGIES,Financial Services,1
QUASI CASH NONFI OMAHA,Financial Services,1
ALVAREZ INSURANCE TUCSON,Financial Services,1
PCS TWNTWRSART,Financial Services,1
PETE AND MACS AVONDALE AVONDALE,Financial Services,1
NAIL AND SPA ARVADA,Financial Services,1
SKYLINE CLEANERS I WILLERNIE,Financial Services,1
SALESAIRTITES,Financial Services,1
COTSWOLD CLEANERS CHARLOTTE,Financial Services,1
TRENDS KIMS ROCHESTER,Financial Services,1
NEOS NAIL SPA SAN JOSE,Financial Services,1
BODY PERFECT TANNI,Financial Services,1
AGAPI HAIR SALON CASA GRANDE,Financial Services,1
ARABELLA SALON MESA,Financial Services,1
MILAN NAIL SEGUNDO,Financial Services,1
TREME OUTDOOR SERVICE,Financial Services,1
NMW FRISCO,Financial Services,1
LOGAN SELF STORAGE LOGAN,Financial Services,1
M GROUP SRL SASSO MARCONI,Financial Services,1
CONCORD NAILS GLENN MILLS,Financial Services,1
THE INFINITE ACTUARY,Financial Services,1
ELSAS LUTZ,Financial Services,1
COMPUTER REPAIR PHOENI,Financial Services,1
BASILS TAILOR SHOP MIAMI,Financial Services,1
J M RETAIL COEUR D ALENE,Financial Services,1
HAIR CAN DANCE DENVER,Financial Services,1
RAMONES PIERSONS EUREKA,Financial Services,1
SOPHIA NAILS SPA INC GLEN COVE,Financial Services,1
ARIZONACACT,Financial Services,1
DIVINO ESTILO HAIR NEWARK,Financial Services,1
SUZETTE CHRISTIAN DELTA,Financial Services,1
WOODMOOR NAILS MONUMENT,Financial Services,1
EVANS HAIRSTYLING COLL CEDAR CITY,Financial Services,1
PROPSTREAM SOFTWARE,Financial Services,1
KISS N MAKEUP INC AUSTIN T,Financial Services,1
MLM HALEY ELEMENTARY MYLUNCHMONEY,Financial Services,1
PAYPAL HVACDISCOU,Financial Services,1
KING SPA SAUNA NILES,Financial Services,1
KIM CLEVELAND HIGHLANDS RAN,Financial Services,1
VAIN SALON,Financial Services,1
ABEST SERVICE,Financial Services,1
WOOD INC CHICO,Financial Services,1
JUMPIN JACKS FAMILY BELLE FOURCHE,Financial Services,1
COCO BUNS TANNING HAVRE GRAC,Financial Services,1
STYLED LLC CORONADO,Financial Services,1
HAPPY DAY SPA ROSEVILLE,Financial Services,1
CHECK CRD PUR RTRN SCHURMANS TRUE VALUE CLARKSTON,Financial Services,1
PALM ACCOUNTING,Financial Services,1
BALANCED BEAUTY VANCOUVER,Financial Services,1
OUTDOOR CONCEPTS I BLUFFTON,Financial Services,1
SANDY MYSTIQUE GALLUP,Financial Services,1
PETE HEAT SAINT PETERSB,Financial Services,1
NORDMAN FINE DRY CLEAN CENTRO,Financial Services,1
CHRISTYS GROOMING MELBOURNE,Financial Services,1
WHITNEY HOLLAND AUSTIN T,Financial Services,1
PILGRIM CLEANERS KATY T,Financial Services,1
EMERALD SELF STORAG COSTA MESA,Financial Services,1
KINGSDENE NURSERIES MONKTON,Financial Services,1
HAIR TECHNOLOGY LLC WESTMINSTER,Financial Services,1
BEST PARTY RENTALS CLOVIS,Financial Services,1
VSM STORE SCOTTSDALE,Financial Services,1
SEGWAY TOURS LLC ESTES PARK,Financial Services,1
C F ELECTRIC INC,Financial Services,1
PAYPAL ZPACKS LLC,Financial Services,1
PAYPAL MERIDIANMA,Financial Services,1
LOCLIFELOCK,Financial Services,1
RALLY PROPERTY MANAGEM,Financial Services,1
TRISHA REMACKEL LAKE ELMO,Financial Services,1
ICUTS SACRAMENTO,Financial Services,1
THE REALLY REALLY GOOD SWEETWATER T,Financial Services,1
MELANA HARDER GREENWOOD VIL,Financial Services,1
BELLINIS EUROPEAN DAY PORTLAND,Financial Services,1
DEBIT CRD PUR INTL HANATORA SINGAPORE,Financial Services,1
AMERICA ACADEMY ORANGE PARK,Financial Services,1
CODINGWEBU,Financial Services,1
TOWNE COUNTRY BOUNTIFUL,Financial Services,1
TATUM HAIR NAILS PHOENI,Financial Services,1
GLOW SUN BOUTIQUE,Financial Services,1
LIBBYS GOLDEN IMA DURHAM,Financial Services,1
COLLINS PAINTING DES,Financial Services,1
SMILEY PLUMBING,Financial Services,1
INVESTMENT RETRIEVERS,Financial Services,1
PUREFE SALON STILLWATER,Financial Services,1
CHECK CRD PUR RTRN PAYPAL JUNIOURGMAN,Financial Services,1
MUTTY PAWS EDEN PRAIRIE,Financial Services,1
BIG JS PIZZA CORRALITOS,Financial Services,1
MAFE A HAIR PLACE TOMS RIVER,Financial Services,1
GENOVI NAILS WINTER PARK,Financial Services,1
LONG TECHNICAL COLLEGE PHOENI,Financial Services,1
HEADWATERS SALIDA,Financial Services,1
PHYLLIS EALY TUCSON,Financial Services,1
ANNAS TERIYAKI RES SAN FRANCISCO,Financial Services,1
UNIQUE CLEANERS REDONDO BEACH,Financial Services,1
AFLAC COLUMBUS,Financial Services,1
ONLINE TICKETING,Financial Services,1
CIRCA SALON LLC TUCSON,Financial Services,1
REDWOOD CREDIT UNI,Financial Services,1
NATLSALONRESOURCES LINCOLN,Financial Services,1
CULLIGAN PHOENI,Financial Services,1
HIGHLAND CLEANERS SAGINAW T,Financial Services,1
WESTSTAR MANAGEMENT,Financial Services,1
PRO EPRESS NAILS SPRING T,Financial Services,1
JENNAE HEIVILIN GILBERT,Financial Services,1
HSA CARD PURCHASE MEDAC INC,Financial Services,1
AMHERST DRY CLEANE AMHERST,Financial Services,1
PENASCO DEL SOL HOTEL PUERTO PENAS M,Financial Services,1
INC,Financial Services,1
PHOTOGRAPHY EASTON,Financial Services,1
HAS BADGING HOUSTON T,Financial Services,1
LOANS USA T,Financial Services,1
ANDES STORE IMPORT COLORADO SPRI,Financial Services,1
BIGTIP INC,Financial Services,1
PREMIUM FINANCE,Financial Services,1
CHECK CRD PUR RTRN QUIZNOS SUB LITTLETON,Financial Services,1
CHECK CRD PUR RTRN MASSAGEWAREHOUSECOM M,Financial Services,1
CHECK CRD PUR RTRN PARTYLITE PARTYLITE CITY PHONE,Financial Services,1
BEAUTIFEYE SCOTTSDALE,Financial Services,1
UNIQUE NAIL SALON FORT COLLINS,Financial Services,1
NAILS CHESTER SPRIN,Financial Services,1
FAST GEEK B,Financial Services,1
FANSSY NAILS TORRINGTON,Financial Services,1
FRANCIS BEAUTY SALON TOLLESON,Financial Services,1
DONNA DOWODZENKA TUBAC,Financial Services,1
HUMARAS SALON HUNTINGTON,Financial Services,1
MANE TAMERS SAN DIEGO,Financial Services,1
KOSMIC KREATIONS SAL,Financial Services,1
JESSICA SPRAGUE DOT,Financial Services,1
EPIC BOARDS SALT LAKE CIT,Financial Services,1
DRIATOMI PRODUCTIO,Financial Services,1
GRAYSON NAIL SPA GRAYSON,Financial Services,1
BREWSTER GAS CORP BREWSTER,Financial Services,1
EPRESS NAIL SPA JERSEY CITY,Financial Services,1
LIVEPERSONT,Financial Services,1
STORAGE DIRECT T,Financial Services,1
PLAZA LAUNDROMAT SIOU FALLS,Financial Services,1
CHARLES UNDERWOOD,Financial Services,1
SERVICE CHAMPIONS,Financial Services,1
RUSSELL T RUSSELL,Financial Services,1
FIDO NASHVILLE,Financial Services,1
BEAUTY IMAGE LINCOLN,Financial Services,1
MDC ANIMAL SVCS MEDLEY,Financial Services,1
PARKER PUBLISH,Financial Services,1
MURDOCKS METAL AND PAI ELY,Financial Services,1
NBC TH AVE NEW YORK,Financial Services,1
ULTRA TAN T,Financial Services,1
HIDDER ENTERPRISES SCOTTSDALE,Financial Services,1
SHEAR TRENDS BARBER CHATSWORTH,Financial Services,1
HOME SAVINGS SATELLITE,Financial Services,1
BEST WAY SUPERMARKE MIRADA,Financial Services,1
DEVON DITMAR ENCINITAS,Financial Services,1
KLECKA WILKINS KLECK,Financial Services,1
COCO RYE RIDGE RYE BROOK,Financial Services,1
SAVVY HAIR SALON SAVVY FREMONT,Financial Services,1
CHECK CRD PUR RTRN PARTY STORE WARNER ROBINS,Financial Services,1
MODERN BEAUTY SHOP BOWIE T,Financial Services,1
MCGUIRE MOVING S,Financial Services,1
SMOOCH A POOCH SAL SUPERIOR,Financial Services,1
ADOBE AIR CONDITIONING MESA,Financial Services,1
HOMEGUARD PEST MGMT,Financial Services,1
SHADES LODGING LKBUENAVISTA,Financial Services,1
AMPJERRYBAKERGARDNSHP,Financial Services,1
GEMTEK PEST,Financial Services,1
ALPINE TROPHIES INC LITTLETON,Financial Services,1
